wavelength,Irradiance
1.98877,5.68785
2.06856,7.41123
2.11697,9.13751
2.1495,10.618
2.19753,11.8498
2.24575,13.3289
2.29416,15.0551
2.32669,16.5356
2.34296,17.2759
2.35981,18.7578
2.37724,20.9815
2.41036,23.2037
2.42701,24.4384
2.47504,25.6702
2.49208,27.3994
2.50931,29.3759
2.54185,30.8564
2.5585,32.0911
2.57496,33.0786
2.6073,34.3118
2.63984,35.7923
2.65649,37.027
2.68844,37.7658
2.69058,40.4854
2.70568,39.7423
2.72292,41.7187
2.73977,43.2006
2.75623,44.1881
2.77346,46.1645
2.806,47.645
2.82304,49.3742
2.85596,51.3492
2.87261,52.5839
2.88946,54.0659
2.9067,56.0423
2.95492,57.5214
2.97177,59.0033
3.0043,60.4838
3.02057,61.2241
3.0378,63.2005
3.05504,65.1769
3.08796,67.1519
3.12069,68.8796
3.15361,70.8546
3.18634,72.5823
3.18692,73.324
3.21945,74.8045
3.23747,77.7699
3.27058,79.9921
3.30312,81.4726
3.31996,82.9545
3.3372,84.931
3.386,87.1517
3.40285,88.6337
3.46714,90.6057
3.46772,91.3474
3.50065,93.3224
3.502,95.053
3.51885,96.535
3.55119,97.7683
3.56804,99.2502
3.60057,100.731
3.61742,102.213
3.63485,104.436
3.66739,105.917
3.68443,107.646
3.71716,109.374
3.71793,110.363
3.75066,112.09
3.7677,113.82
3.81631,115.793
3.83277,116.781
3.86588,119.003
3.88331,121.226
3.90075,123.45
3.91779,125.179
3.93464,126.661
3.96814,129.378
3.98479,130.613
4.00145,131.847
4.03418,133.575
4.03495,134.564
4.06768,136.292
4.10021,137.772
4.11687,139.007
4.1496,140.735
4.19781,142.214
4.23035,143.694
4.247,144.929
4.26385,146.411
4.296,147.397
4.34383,148.382
4.37597,149.368
4.40831,150.601
4.42497,151.836
4.45731,153.069
4.50514,154.053
4.52141,154.794
4.56943,156.025
4.60138,156.764
4.61784,157.752
4.66568,158.736
4.71351,159.721
4.76134,160.706
4.79368,161.939
4.84131,162.676
4.90483,163.659
4.95266,164.644
5.01579,165.132
5.06343,165.87
5.14205,166.11
5.20518,166.598
5.2836,166.591
5.33066,166.587
5.3934,166.581
5.44026,166.329
5.51849,166.075
5.58084,165.575
5.64358,165.569
5.70574,164.821
5.7679,164.074
5.83006,163.326
5.87653,162.58
5.93869,161.833
6.00085,161.085
6.04713,160.092
6.12556,160.085
6.20379,159.83
6.26672,160.071
6.34495,159.817
6.42338,159.81
6.48573,159.309
6.53221,158.563
6.61024,158.062
6.68867,158.054
6.75083,157.307
6.82906,157.052
6.87573,156.553
6.98494,155.802
7.06259,154.805
7.14024,153.809
7.18672,153.063
7.24887,152.316
7.32711,152.061
7.37339,151.068
7.43574,150.567
7.48202,149.574
7.5283,148.581
7.57477,147.835
7.62105,146.841
7.66733,145.848
7.71381,145.102
7.75989,143.862
7.80617,142.868
7.85264,142.122
7.89892,141.129
7.9452,140.136
8.00736,139.388
8.05364,138.395
8.06855,137.404
8.11464,136.164
8.14562,135.666
8.17699,135.664
8.23915,134.916
8.3015,134.416
8.34759,133.175
8.39387,132.182
8.44015,131.189
8.48643,130.195
8.5329,129.449
8.57841,127.467
8.57918,128.456
8.64076,126.967
8.68684,125.726
8.71763,124.982
8.76411,124.235
8.81039,123.242
8.85647,122.002
8.90295,121.256
8.94942,120.509
8.98021,119.765
9.04237,119.017
9.07296,118.026
9.10375,117.281
9.11905,116.785
9.15003,116.288
9.1967,115.789
9.24317,115.043
9.28984,114.544
9.33592,113.303
9.41357,112.307
9.45966,111.067
9.5375,110.318
9.58359,109.077
9.63006,108.331
9.69183,107.089
9.73831,106.343
9.81596,105.347
9.86224,104.353
9.89264,103.114
9.93872,101.874
10.0162,100.63
